" and "," и "
"Uninstalling selected packages, please wait...","Удаление выбранных пакетов, пожалуйста, подождите ..."
"Remote FTP","Удаленный FTP"
"Remote URL:","Удаленный URL:"
"Please specify admin custom URL","Укажите свой адрес для админа"
"Invalid Import Service Specified","Указан неверный сервис импорта"
"Custom","Указанный"
"Manage Installed Extensions","Управление установленными расширениями"
"Magento Connect Manager","Управление расширениями"
"Manage Ratings","Управление рейтингами"
"Url Rewrite Management","Управление Url Rewrite"
"Manage osCommerce Orders","Управление заказами osCommerce"
"Cache Control","Управление кэшем"
"Cache Management","Управление кэшем"
"Cache Control (beta)","Управление кэшем (beta)"
"Manage Currency Rates","Управление курсом валют"
"Manage Stores","Управление магазинами"
"Manage osCommerce Profiles","Управление профилями osCommerce"
"Manage Customers","Управление покупателями"
"NOTICE","УВЕДОМЛЕНИЕ"
"File","Файл"
"Watermark File for %s","Файл с водяным знаком для %s"
"File Information","Файл информации"
"Last Name","Фамилия"
"Lastname","Фамилия"
"Last Name:","Фамилия:"
"Data Format","Формат данных"
"Bestsellers","Хиты"
"Are you sure that you want to delete this template?","Хотите удалить шаблон?"
"Rates","Цены"
"Price","Цена"
"Shipping Price","Цена доставки"
"Price:","Цена:"
"What is this?","Что это?"
"State/Province:","Штат/провинция:"
"Template","Шаблон"
"Default Template from Locale","Шаблон по умолчанию из локали"
"No Templates Found","Шаблоны не найдены"
"This account is","Эта учетная запись"
"This tab contains invalid data. Please solve the problem before saving.","Эта вкладка содержит некорректные данные. Исправьте перед сохранением."
"This section is not allowed.","Этот раздел запрещён"
"This attribute shares the same value in all the stores","Этот атрибут совместно использует значение во всех магазинах"
"This product is currently disabled","Этот продукт в настоящее время отменен"
"This user no longer exists","Этот пользователь больше не существует"
"Export","Экспорт"
"Export CSV","Экспорт CSV"
"Export to:","Экспорт в:"
"Export:","Экспорт:"
"Export Filters","Экспортировать фильтры"
"Email","Эл. почта"
"PayPal Email","Эл. почта PayPal"
"Email:","Эл. почта:"
"Issuer: %s","Эмитент: %s"
"Interface Locale: %s","Язык интерфейса: %s"
"b","б"
"major","важно(е)"
"to","до"
"close","закрыть"
"or","или"
"critical","критично"
"N/A","н/д"
"per page","на страницу"
"Credit Card Number: xxxx-%s","номер кредитной карты: xxxx-%s"
"from","от"
"minor","обычно(е)"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","пример: ""sitemap/"" или ""/"" для корневого пути (должен быть доступен для чтения)"
"example: sitemap.xml","пример: sitemap.xml"
"To","по"
"Profile Wizard","Мастер профилей"
"Store","Магазин"
"Store View","Магазин"
"Store:","Магазин:"
"Store: ","Магазин:"
"Max","Максимум"
"Maximum","Максимальный"
"Mb","Мб"
"Thumbnail","Мини-изображение"
"Min","Минимум"
"Minimum","Минимальный"
"Multiple Select","Многократное выделение"
"My Account","Мой аккаунт"
"Instant Payment Notification (IPN)","Моментальное уведомление оплаты (IPN)"
"Month","Месяц"
"Tag was successfully saved","Метка была успешно сохранена"
"Tag was successfully deleted","Метка была удалена"
"Media (.avi, .flv, .swf)","Медиа (.avi, .flv, .swf)"
"Credit Memo #%s created","Мемориальный ордер #%s создан"
"Credit Memo was successfully created","Мемориальный ордер создан"
"Credit Memo was successfully voided","Мемориальный ордер аннулирован"
"Credit Memo was successfully canceled.","Мемориальный ордер отменен."
"Credit Memo void error","Мемориальный ордер пуст."
"Poll Manager","Менеджер опросов"
"Credit Memo History","История возврата платежей"
"Comments History","История комментариев"
"Shipment History","История отгрузки"
"Profile History","История профиля"
"Invoice History","История платежей"
"Exclude","Исключить"
"Exclude (comma separated)","Исключить (через запятую)"
"Fixed","Исправлено"
"Use Default Value","Использовать значение по умолчанию"
"Use default","Использовать по умолчанию"
"Cookie (Unsafe)","Использование cookies (небезопасно)"
"Use website","Использование веб-сайта"
"Running... Kill","Исполняется.... убить"
"Run","Исполнить"
"Summary","Итог"
"Summary:","Итог:"
"Subtotal Amount","Итоговая сумма"
"Ignore","Игнорировать"
"ID","Идентификатор"
"of %s pages","Из %s страниц"
"Edit Email Template","Изменить email шаблон"
"Edit System Template","Изменить системный шаблон"
"Changelog","Изменения"
"Design change saved","Изменения дизайна сохранены"
"Design change deleted","Изменения дизайна удалены"
"Resize","Изменение размера"
"Images","Изображения"
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Product Thumbnail Itself","Иконка товара"
"Parent Product Thumbnail","Иконка родительского продукта"
"First Name","Имя"
"Firstname","Имя"
"Name","Имя"
"Template Name","Имя шаблона"
"Package File Name","Имя файла пакета"
"File name:","Имя файла:"
"Name on Card","Имя на карте"
"Name on the Card: %s","Имя на карте: %s"
"Customer Name","Имя покупателя:"
"User Name","Имя пользователя"
"User name","Имя пользователя"
"User Name:","Имя пользователя:"
"First Name:","Имя:"
"Name:","Имя:"
"Import","Импорт"
"Import Service","Импорт услуг"
"Import/Export","Импорт/экспорт"
"Import/Export Profile","Импорт/экспорт профиля"
"Imported <strong>%s</strong> records","Импортировано <strong>%s</strong> записей"
"Tools","Инструменты"
"Interactive","Интерактивно"
"Installed Extension Info","Информация установленного расширения"
"Remote Extension Info","Информация удаленного расширения"
"Current Release Information","Информация текущего выпуска"
"Urlrewrite Information","Информация Urlrewrite"
"The information in this tab has been changed.","Информация в этой вкладке изменилась."
"Release Info","Информация выпуска"
"Template Information","Информация о шаблоне"
"Role Info","Информация о роли"
"Role Information","Информация о роли"
"User Roles Information","Информация о роли пользователя"
"Block Information","Информация о блоке"
"Currency Information","Информация о валюте"
"Sitemap Information","Информация о карте сайта"
"User Info","Информация о пользователе"
"User Information","Информация о пользователе"
"Account Information","Информация об аккаунте"
"Profile Information","Информация профиля"
"Package Info","Информация пакета"
"Package Information","Информация пакета"
"Individual Item","Индивидуальная единица"
"Search Index","Индекс поиска"
"Layered Navigation Indices","Индексы многослойной навигации"
"Layered Navigation Indices was refreshed successfully","Индексы многослойной навигации обновлены"
"Layered Navigation Indices were refreshed successfully","Индексы многослойной навигации обновлены"
"Preferred state","Желательное состояние"
"Per Order","За заказ"
"Last 7 days","За последние 7 дней"
"Per Item","За единицу"
"Forgot your user name or password?","Забыли имя пользователя или пароль?"
"Forgot your password?","Забыли пароль?"
"Dependencies","Зависимости"
"Complete","Завершен"
"Upload Local File","Загрузить локальный файл"
"Upload local file:","Загрузить локальный файл:"
"Load local Package","Загрузить локальный пакет"
"Loading...","Загрузка ..."
"Load Template","Загрузка шаблона"
"Load default template","Загрузка шаблона по умолчанию"
"Upload File","Загрузка файла"
"Upload import file","Загрузка файла для импорта"
"Upload Files","Загрузка файлов"
"Download and Install","Загрузка и установка"
"Upload and Install","Загрузка и установка"
"Downloading and installing $pkg, please wait...","Загрузка и установка $pkg, пожалуйста, подождите ..."
"Close","Закрыть"
"Order #%s","Заказ #%s"
"Order #%s (%s)","Заказ #%s (%s)"
"Order not longer exist","Заказ более не существует"
"Order not longer exist.","Заказ более не существует"
"Customer Since:","Заказчик начиная с:"
"Orders","Заказы"
"Enclose Values In:","Заключить значения в:"
"Finished profile execution.","Закончено выполнение профиля."
"Notes","Заметки"
"Note:","Замечание:"
"Run in popup","Запуск во всплывающем окне"
"Run Profile","Запуск профиля"
"Run Profile Inside This Window","Запуск профиля внутри этого окна"
"Run Profile In Popup","Запуск профиль в всплывающем окне"
"Starting profile execution, please wait...","Запущено выполнение профиля, подождите ..."
"Running:","Запущено:"
"Request Path","Запрашиваемый путь (path)"
"Layered Navigation indexing queue cancelled","Запрос индексации многослойной навигации отменён"
"Layered Navigation indexing queued","Запрошена индексация многослойной навигации"
"Layered Navigation process queued to be killed","Запрошена отмена многослойной навигации"
"Save PEAR Config","Запомнить PEAR конфигурацию"
"Default Values","Значения по умолчанию"
"Default (Admin) Values","Значения по умолчанию (Admin)"
"Value","Значение"
"Value Delimiter:","Значение разделителя:"
"Area","Зона"
"Base currency","Базовая валюта"
"Big Image","Большое изображение"
"No change","Без изменений"
"Excl. Tax","Без налогов"
"In","В"
"Logged in as %s","В системе как %s"
"This attribute set don't have attributes which we can use for configurable product","В этом наборе атрибутов нет атрибутов для конфигурируемых товаров"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","В этом поле допустимы только цифры."
"Please use letters only (a-z) in this field.","В этом поле допустимы только буквы (а-я,a-z)."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","В этом поле допустимы только буквы и цифры и пробел и чисто такая решётка #."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","В этом поле допустимы только буквы и цифры. Пожалуйста, никакой фигни типа пробелов."
"In File:","В файл:"
"In Database:","В базе данных:"
"All","Все"
"All Store Views","Все  магазины"
"All countries","Все страны"
"All Websites","Все сайты"
"All Tags","Все теги"
"All Files","Все файлы"
"All Allowed Countries","Все разрешенные страны"
"All possible rates were fetched, click on ""Save"" to apply","Все возможные значения были получены. Нажмите ""Сохранить"" чтобы применить изменения"
"All valid rates successfully saved","Все верные цены успешно сохранены"
"Any Group","Все группы"
"All rates were fetched, click on ""Save"" to apply","Все значения были получены. Нажмите ""Сохранить"" чтобы применить изменения"
"All fields","Все поля"
"Total","Всего"
"Total of %d record(s) were successfully deleted","Всего удалено  %d записей"
"Total Refunded","Всего возвратов"
"Total %d records found","Всего найдено %d записей"
"Total of %d record(s) were successfully updated","Всего обновлено  %d записей"
"Lifetime Sales","Всего продаж"
"Total Invoiced","Всего платежей"
"Login","Вход"
"Log in to Admin Panel","Вход в административную панель"
"Log into Magento Admin Page","Вход в административную панель Magento"
"Messages Inbox","Входящие"
"Incoming Message","Входящее сообщение"
"You successfully logged out.","Вы успешно вышли из системы."
"Are you sure you wish to INSTALL all selected packages?","Вы уверены, что хотите установить все выбранные пакеты?"
"Are you sure you wish to UNINSTALL all selected packages?","Вы уверены, что хотите удалить все выбранные пакеты?"
"Are you sure you wish to UPGRADE all selected packages?","Вы уверены, что хотите обновить все выбранные пакеты?"
"Are you sure that you want to strip tags?","Вы уверены, что вы хотите убрать метки?"
"You need to specify order items","Вы должны указать заказанные товары"
"Do you really want to KILL parallel process and start new indexing process?","Вы действительно полны уверенности остановить работающий поцесс и запустить индексацию заново?"
"You can not delete self assigned roles.","Вы не можете удалять роли назначенные самому себе"
"You cannot delete account of yourself","Вы не можете удалить учетную запись о себе"
"Select","Выбрать"
"Select All","Выбрать все"
"Time selection:","Выбрать время:"
"Select Date","Выбрать дату"
"Select date","Выбрать дату"
"Select Category","Выбрать категорию"
"Select Range","Выбрать промежуток"
"items selected","Выбранные пункты"
"Selected base currency is not available in installed currencies","Выбранная базовая валюта не установлена."
"Selected allow currency ""%s"" is not available in installed currencies","Выбранная валюта ""%s"" не установлена"
"Shipping method selection is not applicable","Выбор способа доставки недоступен"
"Shipping address selection is not applicable","Выбор адреса доставки недоступен"
"Select Visible","Выбор видимых"
"Date selector","Выбор даты"
"DHTML Date/Time Selector","Выбор даты и времени"
"Date selection:","Выбор даты:"
"Choose an attribute","Выберите атрибут"
"Choose Store View","Выберите магазин"
"Please select a store","Выберите магазин"
"Please select State/Province.","Выберите область (штат, провинция)"
"Please select one of the above options.","Выберите одну из опций выше."
"Please select one of the options.","Выберите одну из опций."
"Please select an option.","Выберите опцию"
"Please, select a store view","Выберите представление магазина"
"View","Выводить"
"Display %s first","Выводить %s первым"
"Log Out","Выйти"
"Release","Выпуск"
"Drop-down","Выпадающий список"
"Submit","Выполнить"
"Time","Время"
"Time:","Время:"
"Temporary (302)","Временный (302)"
"MAJOR","ВАЖНО(Е)"
"Grand Total","ВСЕГО"
"Order Totals","ВСЕГО  "
"Your answers contain duplicates.","Ваши ответы содержат дубликаты."
"Currency","Валюта"
"Default display currency ""%s"" is not available in allowed currencies","Валюта по умолчанию ""%s"" не доступна в разрешенных валютах"
"Selected default display currency is not available in installed currencies","Валюта по умолчанию не установлена"
"Selected default display currency is not available in allowed currencies","Валюта по умолчанию не указана в списке разрешенных валют"
"Please enter 6 or more characters.","Введите 6 или более символов"
"Please enter a number greater than 0 in this field.","Введите число больше 0"
"Please enter a valid value from list","Введите значение из списка"
"Please enter a valid date.","Введите правильную дату."
"Please enter a valid $ amount. For example $100.00.","Введите правильную денежную величину. Например, 100.00."
"Please enter a valid email address. For example johndoe@domain.com.","Введите правильный адрес email. Например, pochta@site.ru."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Введите правильный адрес. Например, http://www.site.ru или www.site.ru"
"Please enter a valid URL. http:// is required","Введите правильный адрес. Указание схемы http:// обязательно"
"Please enter a valid social security number. For example 123-45-6789.","Введите правильный номер социального страхования. Например, 123-45-6789"
"Please enter a valid credit card number.","Введите правильный номер кредитной карты."
"Please enter valid password.","Введите правильный пароль"
"Please enter a valid zip code.","Введите правильный почтовый индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Введите правильный почтовый индекс. Например, 344113"
"Please enter a valid number in this field.","Введите правильное число в это поле."
"Please enter a valid value, ex: 10,20,30","Введите правильное значение, напр. 10,20,30"
"Visibility:","Видимость:"
"Incl. Tax","Включая налог"
"Enable","Включить"
"Include","Включить"
"Enabled","Включено"
"Warning! Empty value can cause problems with CSV format.","Внимание! Пустые значения могут вызывать проблемы в CSV формате."
"All Cache","Весь кэш"
"Version","Версия"
"API Version","Версия API"
"PHP Version","Версия PHP"
"Release Version","Версия выпуска"
"Version:","Версия:"
"Return Html Version","Вернуть Html Версию"
"Back to local packages","Вернуться к локальным пакетам"
"Web Services","Веб сервисы"
"Web services","Веб сервисы"
"Discount Amount","Величина скидки"
"Group:","Группы:"
"Customer Group:","Группа пользователей:"
"Checkbox","Галочка"
"Gb","Гб"
"Global Attribute","Глобальный атрибут"
"Global Search","Глобальный поиск"
"Global Record Search","Глобальный поиск записи"
"Guest","Гость"
"YTD","Год"
"Year","Год"
"Yes","Да"
"Yes (only price with tax)","Да (только цены с налогом)"
"Date","Дата"
"Date Added","Дата добавлена"
"Date & Time","Дата и время"
"Date Updated","Дата изменена"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Дата карты Switch/Solo/Maestro(Великобритания): %s/%s"
"Start Date","Дата начала"
"Date:","Дата:"
"No Data Found","Данных не найдено"
"Package %s data was successfully loaded","Данные пакета %s были успешно загружены"
"Design","Дизайн"
"For category","Для категории"
"For product","Для продукта"
"Pending installation...","До установки ..."
"Access Denied.","Доступ запрещен"
"Access Deny","Доступ запрещен"
"Resource Access","Доступ к ресурсу"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Доступны только атрибуты из набора ""Глобальные"", типа ввода ""Выпадающий список"" и для создания настраиваемых товаров."
"Available Products","Доступные продукты"
"Available Version","Доступная версия"
"Shipping","Доставка"
"Revenue","Доход"
"Add","Добавить"
"Add Urlrewrite","Добавить Urlrewrite"
"Add Urlrewrite for a Category","Добавить Urlrewrite для категории"
"Add Urlrewrite for a Product","Добавить Urlrewrite для продукта"
"Add Maintainer","Добавить ведущего"
"Add PHP Extension dependency","Добавить зависимость PHP расширение"
"Add Package dependency","Добавить зависимость пакета"
"Add Subpackage dependency","Добавить зависимость подпакета"
"Add Exception","Добавить исключение"
"Add new store view map","Добавить карту новой витрины"
"Add Field Mapping","Добавить мэппинг поля"
"Add New Role","Добавить новую роль"
"Add new Role","Добавить новую роль"
"Add new website map","Добавить новую карту сайта"
"Add New Template","Добавить новый шаблон"
"Add New Profile","Добавить новый профиль"
"Add New osCommerce Profile","Добавить новый профиль osCommerce"
"Add New User","Добавить нового пользователя"
"Add New Image","Добавить новое изображение"
"Add New Urlrewrite","Добавить новое правило url"
"Add Contents Path","Добавить путь к оглавлению"
"Add after","Добавить после"
"Add Field with URL:","Добавить поле с URL"
"Shipping method must be specified","Должен быть указан метод доставки"
"Payment method must be specified","Должен быть указан метод оплаты"
"Home","Домашняя"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Допустим следующий формат даты: dd/mm/yyyy. Например, 15/03/2009 для 15 марта 2009."
"Optional","Дополнительно"
"Decimal separator:","Десятичный разделитель:"
"Actions","Действия"
"Action","Действие"
"Profile Action","Действие для профиля"
"Day","День"
"Any Visibility","Любая видимость"
"Any Status","Любой статус"
"Any Type","Любой тип"
"Any Store","Любой магазин"
"Any Attribute Set","Любой набор атрибутов"
"Any","Любой(ая)"
"License","Лицензия"
"License:","Лицензия:"
"Magento Logo","Логотип Magento"
"Locale","Локаль "
"Local Server","Локальный сервер"
"Local/Remote Server","Локальный/удаленный сервер"
